Time	Cell_length	CD45.1	CD45.2	cPARP	CD5	p4EBP1	CD4	CD8	pFAK	CD19	(Eu151)Dd	Ki67	pMAPKAPKII	pSHP2	pSLP76	pRb	pAkt_S473	pSyk_ZAP70	pc-CBL	pNFKb	Ikba	pErk1_2	CD25	TCRb	pLAT	CD44	pS6	pCD3z	pCreb	DNA1	DNA2	beadDist	tSNE
7.9266	2.5555	-0.083993	3.5255	2.1628	4.3448	0.366	5.5729	1.0339	0.22571	0.094159	-0.029724	-0.062454	0.25299	-0.072005	0.74529	-0.061872	0.49095	-0.062678	-0.070104	0.39485	0.15283	-0.095796	0.33302	3.6599	0.11823	3.5038	-0.070504	0.39777	2.4215	5.8148	6.3546	2.5386	1
8.2497	2.9576	-0.044188	2.3846	0.27056	4.5782	0.79969	3.6091	1.3982	0.15927	-0.10138	-0.036583	-0.083559	1.5012	-0.076316	1.4278	0.22509	-0.029677	0.12583	-0.02362	0.33958	1.6752	0.495	0.022547	3.1374	1.9778	3.3462	2.117	0.37355	1.3153	5.4016	5.7474	2.6043	1
8.6803	2.5859	-0.016176	3.5835	0.5037	4.8501	-0.0083704	4.5973	0.70769	0.13169	-0.051694	-0.095589	-0.046911	1.5605	-0.092591	0.62772	0.67938	-0.018673	1.1472	-0.052954	0.35727	3.4956	-0.077302	-0.001576	3.8195	0.43289	3.367	0.65703	1.6655	3.8638	5.907	6.4204	2.6487	1
8.7181	2.4238	-0.068614	2.3755	0.97767	4.6018	0.66692	4.9875	0.39699	0.78766	-0.093254	-0.020737	-0.10847	0.063187	-0.028233	0.95367	1.0353	-0.08523	0.03718	-0.051534	0.44397	1.8472	0.0092333	0.43907	4.0589	0.34435	3.0603	0.48158	0.94264	3.4671	5.5025	6.026	2.6817	1
8.7741	2.2724	0.056774	4.2163	0.54538	5.4423	0.13131	5.011	0.10807	0.30012	-0.051734	-0.022959	-0.0038941	0.82404	-0.00056713	0.63112	1.1433	0.15148	0.34183	-0.018229	0.58219	-0.01273	-0.039501	0.066322	4.1717	0.10988	4.0126	0.19111	1.6387	1.8984	5.523	6.1766	2.7085	1
8.7903	2.801	-0.048311	2.5157	0.35446	3.3079	1.1182	4.2393	1.9101	1.518	0.22173	-0.11151	-0.063897	0.63791	-0.029739	1.5671	0.44947	1.1852	1.4758	-0.10228	-0.085929	0.12161	-0.11035	0.16996	3.677	1.3359	3.0623	0.65355	1.5506	0.63498	5.1522	5.8784	2.2947	1
8.7975	2.4584	-0.10887	3.6178	0.52879	4.6285	-0.060588	4.275	0.44336	0.1311	0.25752	-0.083698	-0.11505	0.75792	-0.010162	0.17616	2.8992	-0.026036	0.19702	-0.052662	2.2165	2.9708	-0.084758	0.44402	3.4031	0.8259	3.7714	1.4025	0.016397	3.4299	5.6239	5.8351	2.6551	1
8.8305	2.0947	-0.057848	3.3387	0.42639	5.0338	-0.024454	4.9475	0.23678	0.47066	-0.089108	-0.038546	-0.053341	0.99311	-0.0051867	1.1921	0.47049	-0.035195	0.22918	0.20388	2.2733	1.064	0.32775	-0.022468	4.8629	0.016891	4.389	1.3298	0.84145	2.8795	5.5671	6.0594	2.8225	1
8.9567	2.9781	0.3746	3.1988	1.1876	4.2793	0.28302	4.9781	1.6236	-0.068975	-0.11196	-0.059719	-0.10583	0.56163	0.010659	0.055116	0.73011	-0.090558	0.41056	0.2203	0.63784	2.1376	-0.06835	-0.0265	3.5252	0.77248	3.217	0.93408	1.3576	3.3262	4.9663	5.5394	2.569	1
9.0228	2.6441	0.78587	2.6718	1.6565	5.1781	0.50117	4.9822	1.3754	0.69023	-0.017144	-0.11377	-0.0032658	0.63527	-0.024885	0.70868	1.8257	0.074279	0.042169	0.091602	1.297	2.767	0.088745	0.045155	3.3306	-0.11264	3.2824	0.19243	0.68189	3.4193	5.6553	6.2105	2.6154	1
