Time	Cell_length	CD45.1	CD45.2	cPARP	CD5	p4EBP1	CD4	CD8	pFAK	CD19	(Eu151)Dd	Ki67	pMAPKAPKII	pSHP2	pSLP76	pRb	pAkt_S473	pSyk_ZAP70	pc-CBL	pNFKb	Ikba	pErk1_2	CD25	TCRb	pLAT	CD44	pS6	pCD3z	pCreb	DNA1	DNA2	beadDist
1501	28	-0.54904795	26.819855	1.4041895	174.51503	-0.46104762	219.78918	3.3228502	4.1075149	7.1701279	-0.015983967	-0.31133422	13.955606	1.0405096	5.0999851	7.3691754	0.35030207	6.7549844	-0.17748526	7.9329681	9.4083347	2.762913	59.58477	72.220024	2.3284292	116.49645	6.5768948	5.6787519	67.456917	726.57751	879.80438	32.07436
2968	33	-0.45007354	106.53807	6.1648164	269.95154	5.3828955	479.68597	0.68908286	13.352162	-0.42088237	-0.019622065	-0.24291918	2.7189512	-0.054493014	3.1036952	0.60563695	2.7062974	0.92210209	-0.57968605	2.4630592	4.5696244	-0.48959917	2.5648603	117.21966	0.71888089	13.695912	6.350739	4.5280061	20.617496	1225.7047	1674.3456	32.542988
3002	31	-0.24365905	71.36068	2.3332911	288.66391	0.62435007	389.93637	5.4034691	6.166429	-0.57982957	-0.098596811	-0.57707185	6.000792	-0.46937561	3.5145664	11.079732	2.7532759	1.545632	2.0874856	10.04152	13.554748	1.3149084	-0.26275504	91.652969	2.2675753	2.5639119	1.6817625	17.49859	29.516504	832.77515	1293.5591	30.846964
3121	28	-0.38253006	37.606117	12.311013	-0.39415631	-0.36305007	0.60811108	3.9081824	15.39268	24.788652	-0.092032179	-0.34882376	11.781198	-0.58694351	0.80039477	-0.1370869	1.1417398	-0.48828629	-0.18980011	0.79380298	-0.21201758	-0.47867638	-0.49491483	-0.57867569	-0.18477103	6.2904973	1.7803571	-0.33133322	11.807456	938.3537	1323.411	16.786825
3916	31	-0.32291815	101.49091	2.3247771	234.87932	1.7843219	170.82739	6.3793864	1.1035454	-0.47422987	-0.47327107	-0.51018625	13.26594	-0.30301884	10.956251	5.8545365	-0.3837536	1.5061083	-0.44390687	0.9474175	30.12746	-0.10250879	-0.24148455	90.058907	0.33841181	-0.54002619	1.137985	2.1190634	53.030529	457.70749	678.28308	35.39399
4108	34	-0.37273616	50.21822	13.652764	235.92429	7.1075668	-0.47633982	60.579041	1.562484	0.4050054	-0.4843812	-0.0097667202	17.131664	-0.095616408	2.7450976	15.888887	-0.35562208	7.3621993	4.0854559	26.466347	5.6534948	1.2728835	-0.16887744	40.039261	0.96030831	349.83356	4.4966598	-0.40875533	84.507561	970.39099	1805.3577	32.386715
4286	28	-0.39638165	120.34084	10.208827	8.3987656	-0.25076976	410.79358	3.0387857	4.2227688	-0.3908627	-0.40685192	-0.43172508	0.063878611	-0.46541262	5.2564273	2.9386764	5.4455161	-0.24014087	-0.021840442	14.326477	16.16662	-0.39858818	0.30149561	172.78127	1.3889958	4.6572371	-0.2038587	11.940217	7.4086728	683.94202	1207.3135	25.088745
4879	37	-0.038930226	35.917812	-0.019896999	460.94504	1.4910203	123.29952	7.7622309	-0.58707744	-0.061947197	-0.46596548	-0.15962137	5.195972	-0.38250533	11.434375	-0.096685044	0.88358057	5.4903045	3.0993016	8.2817535	20.75194	4.6549397	6.2298946	26.839962	5.9661102	6.8033614	-0.034952901	13.275981	21.102306	676.39209	817.44873	31.646034
5387	27	-0.54067153	103.92984	12.033848	176.97632	5.9126263	452.90338	1.040379	2.8832934	-0.0088903317	-0.21281472	-0.48941714	3.9855649	-0.15932538	0.57092065	0.25284541	0.036394443	-0.12079152	-0.1221301	0.11401032	10.949977	-0.50754446	-0.48163852	16.90592	0.70425451	-0.44436058	0.8999384	5.6358137	1.6876762	848.6333	1294.3617	26.787565
5462	26	-0.34136629	51.374737	3.8621144	2.9472892	1.9635158	-0.23327945	-0.080680862	17.631199	41.953369	-0.50965488	0.55483043	11.321912	0.55634338	6.3388467	1.5835347	-0.043470815	1.6226859	-0.14355759	0.48530215	7.1313877	-0.57658285	-0.11516427	-0.42077723	-0.27629745	8.8941841	1.7306273	-0.23364997	8.1417456	1223.1868	1808.9207	16.619772
